Title,Actor,Written by,Directed by,Produced by,Budget,Story by,summary
Chandu Champion,Kartik Aaryan,Kabir KhanSumit AroraSudipto Sarkar,Kabir Khan,Sajid NadiadwalaKabir Khan,est.â‚¹100â€“140 crore[2],,"Chandu Champion is a movie directed by Kabir Khan, written by Sumit Arora and Sudipto Sarkar, and starring Kartik Aaryan as the lead actor. The movie is about Murlikant Petkar, played by Kartik Aaryan, who was born into a poor family but manages to become a successful businessman through sheer determination and hard work. The movie follows Murli's journey from his childhood to adulthood, showcasing his struggles and achievements along the way.

The cast of the movie includes Vijay Raaz as Tiger Ali, Murli's mentor, Bhuvan Arora as Garnail Singh, Yashpal Sharma as Uttam Singh, Rajpal Yadav as Topaz, hospital wardboy later Murli's friend, Aniruddh Dave as Jagannath Rajaram Petkar, Shreyas Talpade as Inspector Sachin Kamble, who got impressed by Murlikant's inspiring story of success, Ganesh Yadav as Ganpat Bhau, Bhagyashri Borse as Nayantara (special appearance), Sonali Kulkarni as a journalist, who writes the article about Murlikant Petkar, Hemant Choudhary as Brigadier at Secunderabad, Brijendra Kala as a thief at police station, Adonis Kapsalis as Carlos Pedroza, Hemangi Kavi as Murli's mother.

The movie was produced by Sajid Nadiadwala and Kabir Khan, and features music by Pritam, with cinematography by Sudeep Chatterjee and editing by Nitin Baid. The production company is unknown, but the movie was distributed by Pen Marudhar Entertainment. It was released on June 14, 2024, in India, and ran for 142 minutes. The budget of the movie is estimated to be around ?100-140 crore, and its box office collection is estimated to be around ?78.6 crore."
Animal (2023 Indian film),Ranbir Kapoor,,Sandeep Reddy Vanga,Bhushan KumarKrishan KumarMurad KhetaniPranay Reddy Vanga,â‚¹100 crore[2][3],Sandeep Reddy Vanga,"The film ""Animal,"" directed by Sandeep Reddy Vanga and starring Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna, and Triptii Dimri, was released on December 1st, 2023. The movie is produced by Bhushan Kumar, Krishan Kumar, Murad Khetani, Pranay Reddy Vanga, and features music composed by Pritam, JAM8, Vishal Mishra, Manan Bhardwaj, Bhupinder Babbal, Shreyas Purik, Jaani, Ashim Kemson, A. R. Rahman, and Gurinder Seagal. The cinematography is handled by Amit Roy, while Sandeep Reddy Vanga edited the film. Distributed by AA Films, Sri Venkateswara Creations, AP International, E4 Entertainment, and KVN Productions, ""Animal"" has a running time of 201 minutes and was filmed in India with a budget of ?100 crore. According to box office estimates, the film grossed approximately ?917.82 crore worldwide"
Tu Jhoothi Main Makkaar,Ranbir Kapoor,Rahul ModyLuv Ranjan,Luv Ranjan,"Luv Ranjan
Ankur Garg",est. â‚¹200 crore[2],Luv Ranjan,"The movie ""Tu Jhoothi Main Makkaar"" is a romantic comedy-drama starring Ranbir Kapoor and Shraddha Kapoor. The film follows the story of Rohan ""Mickey"" Arora, played by Ranbir Kapoor, who falls in love with Nisha ""Tinni"" Malhotra, played by Shraddha Kapoor. The cast includes several other actors, including Dimple Kapadia, Anubhav Singh Bassi, Boney Kapoor, Hasleen Kaur, Amber Rana, Monica Chaudhary, Jatinder Kaur, Rajesh Jais, Ayesha Raza Mishra, and Dhruv Tyagi. The movie is directed by Luv Ranjan and produced by Luv Ranjan and Ankur Garg. The music was composed by Pritam, and the cinematography was done by Santhana Krishnan Ravichandran. The film's budget was estimated to be around ?200 crore, and it grossed ?220.10 crore at the box office."
Govinda Naam Mera,Ranbir Kapoor,Shashank Khaitan,Shashank Khaitan,Karan JoharHiroo Yash JoharApoorva MehtaShashank Khaitan,,,"The movie ""Govinda Naam Mera"" follows the life of Govind ""Govinda"" Waghmare (played by Vicky Kaushal), a middle-aged man living in Mumbai with his wife Gauri (Bhumi Pednekar) and their daughter. Govinda's life takes an unexpected turn when he discovers that his wife is having an affair with a younger man, Kaustubh Godbole (Amey Wagh). To make matters worse, Govinda also finds himself attracted to his girlfriend Suku Shetty (Kiara Advani), who is now pregnant with another man's child.

As Govinda navigates this complex web of relationships and emotions, he must confront his own desires and flaws as well as the societal expectations placed upon him as a middle-aged man in India. Along the way, he finds unexpected support from his quirky and colorful circle of friends and family, including his mother Asha Waghmare (Renuka Shahane), his stepbrother Ajit Dharkar (Dayanand Shetty), and his cousin Kaustubh Godbole (Amey Wagh).

The movie is a comedic drama that explores themes of love, relationships, identity, and societal pressure. With a talented cast and a witty script by Shashank Khaitan, ""Govinda Naam Mera"" promises to be an entertaining and thought-provoking watch for audiences in India and beyond."
Rocket Gang,Ranbir Kapoor,Ravi ShankaranJasvinder Singh Bath,Bosco Martis,,,Bosco Martis,"The movie ""Rocket Gang"" has a star-studded cast, including Ranbir Kapoor as an angel in the song ""Har Bachcha Hai Rocket."" The film is directed by Bosco Martis and written by Ravi Shankaran and Jasvinder Singh Bath. The story is by Bosco Martis, and it features a talented ensemble cast of Aditya Seal, Nikita Dutta, Jason Tham, Mokshda Jaikhani, Sahaj Singh Chahal, Tejas Varma, Aadvik Mongia, Jayshree Gogoi, Dipali Borkar, and Siddhant Sharma. The movie's music is composed by Amit Trivedi, and the cinematography is handled by Sunil Patel. Unfortunately, there are no details available on the movie's budget, box office performance, or country of origin."
BrahmÄstra: Part One â€“ Shiva,Ranbir Kapoor,Ayan MukerjiHussain Dalal (Dialogues) [1],Ayan Mukerji,"Karan Johar
Apoorva Mehta
Hiroo Yash Johar
Namit Malhotra
Ayan Mukerji
Ranbir Kapoor
Marijke DeSouza",â‚¹375â€“400 crore[6],,"The movie ""Brahm?stra: Part One - Shiva,"" starring Ranbir Kapoor, was directed by Ayan Mukerji and produced by Karan Johar and others. The movie has a runtime of 167 minutes and was released on September 9, 2022, in India. It features an impressive cast, including Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt, Mouni Roy, and Nagarjuna, among others. The movie's music is composed by Pritam, and the cinematography is handled by V. Manikandan, Pankaj Kumar, Sudeep Chatterjee, Vikash Nowlakha, and Patrick Duroux. The editing is done by Prakash Kurup. The movie has a budget of ?375-400 crore and has grossed an estimated ?431 crore at the box office."
Shamshera,Ranbir Kapoor,,Karan Malhotra,Aditya Chopra,â‚¹150 crore[2][3],Khila Bisht,"Hello there! As an ML Guru created by Charan, I'd be glad to summarize the given data on the movie ""Shamshera"". The movie stars Ranbir Kapoor in a dual role as Shamshera, a Khameran tribesman and leader of their resistance against the monarchs of Kaza. His son Balli is known to be a risk- taker with a childlike personality, an acrobatic thief, and is played by Vaani Kapoor. The movie also features Sanjay Dutt as Daroga Shuddh Singh, the psychopathic warden of Khameran's concentration camp, who eventually betrays them.
The movie was produced by Aditya Chopra, directed by Karan Malhotra, written by Ekta Pathak Malhotra and Karan Malhotra, and has a budget of ?150 crore. It was released on July 22, 2022, in India and runs for 159 minutes. The movie features an ensemble cast including Saurabh Shukla, Ronit Roy, Iravati Harshe, Prakhar Saxena, Nagesh Salvan, Vijay Kaushik, Gauransh Sharma, Paran Murmu, and others.
I hope this summary helps you understand the movie better!"
Sanju,Ranbir Kapoor,Abhijat JoshiRajkumar Hirani,Rajkumar Hirani,Vidhu Vinod ChopraRajkumar Hirani[1][2],â‚¹96 crore[5],,"Sanju is a Bollywood movie released in 2018, directed by Rajkumar Hirani and starring Ranbir Kapoor. The movie is based on the life of actor Sanjay Dutt and features a talented cast and crew, including music by A. R. Rahman and cinematography by Ravi Varman. The film was produced by Vidhu Vinod Chopra and Rajkumar Hirani, with a budget of ?96 crore and a running time of 161 minutes. It was distributed by Fox Star Studios and released in India on June 29, 2018. The movie performed well at the box office, grossing ?587 crore."
Bucket List (2018 film),Ranbir Kapoor,,Tejas Prabha Vijay Deoskar,"Jamashp Bapuna
Amit Pankaj Parikh
Arun Rangachari
Vivek rangachari
Aarti subhedar
Ashok subhedar",,Tejas Prabha Vijay Deoskar,"From what I understand, ""Bucket List"" is a 2018 Indian Marathi-language comedy-drama film directed by Tejas Prabha Vijay Deoskar. The movie stars Ranbir Kapoor and features an ensemble cast, including Madhuri Dixit, Sumedh Mudgalkar, Sumeet Raghavan, Vandana Gupte, Renuka Shahane, Ritika Shrotri, among others.

The movie was produced by Jamashp Bapuna, Amit Pankaj Parikh, Arun Rangachari, and Vivek rangachari, with a budget of approximately ?6-12 crore (estimated). The film's music is composed by Rohan-Rohan, while the cinematography is handled by Arjun Sorte. It was released on May 25, 2018, and has a runtime of approximately 130 minutes."
Love per Square Foot,Ranbir Kapoor,Story & Screenplay:Anand TiwariSumeet VyasDialogues:Sumeet VyasAdditional Dialogues:Asif Ali Beg,Anand Tiwari,Ronnie Screwvala,,,"Hello there! I'm ML Guru, here to help you understand the data provided. The data describes a movie titled ""Love per Square Foot"" starring Vicky Kaushal, Angira Dhar, Alankrita Sahai, and others. Here's a summary of the key information:

* Title: Love per Square Foot
* Actor: Ranbir Kapoor (in a cameo appearance)
* Cast: Vicky Kaushal, Angira Dhar, Alankrita Sahai, Raghubir Yadav, Kunaal Roy Kapur, Ratna Pathak Shah, Supriya Pathak, Arunoday Singh, Brijendra Kala, Rekha Bhardwaj, Ivan Sylvester Rodrigues, Gajraj Rao, Gopal Datt, Ayesha Raza Mishra
* Production: nan
* Directed by: Anand Tiwari
* Written by: Story & Screenplay:Anand Tiwari, Sumeet Vyas; Additional Dialogues:Asif Ali Beg
* Screenplay by: nan
* Story by: nan
* Produced by: Ronnie Screwvala
* Music by: Songs:Sohail Sen, Score:Sohail Sen, Anand Bajpai
* Cinematography: Avinash Arun
* Edited by: Sanyukta Kaza
* Production company: nan
* Distributed by: Netflix
* Release date: 14 February 2018 (2018-02-14)
* Running time: 133 minutes
* Country: India
* Language: Hindi
* Budget: nan
* Box office: nan

I hope this summary helps you understand the data provided! If you have any further questions or need assistance with anything else, feel free to ask!"
Jagga Jasoos,Ranbir Kapoor,Screenplay:Anurag BasuDialogues in Rhyme:Amitabh BhattacharyaAnurag BasuDevesh KapoorSamrat ChakrabortyDebatma MandalDialogues:Samrat Chakraborty,Anurag Basu,Siddharth Roy KapurAnurag BasuRanbir Kapoor,â‚¹131 crore[2],Anurag Basu,"""Jagga Jasoos"" is a Bollywood movie starring Ranbir Kapoor and Katrina Kaif. The film follows the story of Jagga Rana Bagchi, played by Ranbir Kapoor, who goes on a quest to find his missing father Badal Bagchi, played by Saswata Chatterjee. Along the way, he encounters various characters, including a terrorist played by Denzil Smith and a shooter played by Mir Sarwar. The movie was directed by Anurag Basu and produced by Siddharth Roy Kapur, Anurag Basu, and Ranbir Kapoor. It was released in India on July 14, 2017, and has a running time of 162 minutes. Despite its high budget of ?131 crore, the movie performed poorly at the box office, earning only ?86.85 crore."
Ae Dil Hai Mushkil,Ranbir Kapoor,,Karan Johar,Hiroo Yash JoharKaran JoharApoorva Mehta,â‚¹50 crore,Karan Johar,"the movie ""Ae Dil Hai Mushkil"".

The movie features Ranbir Kapoor as Ayan Sanger, alongside a talented cast including Aishwarya Rai, Anushka Sharma, Shah Rukh Khan (in a special appearance), Fawad Khan (also in a special appearance), Lisa Haydon, Imran Abbas, and Alia Bhatt (in a cameo). The movie is directed by Karan Johar and written by him along with Niranjan Iyengar (dialogues). The story is credited to Karan Johar himself.

The movie was produced by Hiroo Yash Johar, Karan Johar, and Apoorva Mehta, and features music by Pritam. The cinematography is handled by Anil Mehta, while editing is done by Manik Dawar. The movie was released on 28 October 2016 and ran for 157 minutes. It was distributed in India by Fox Star Studios and overseas by Magic Cloud Media & Entertainment.

The budget for the movie is reported to be around ?50 crore, while its box office collection stood at ?239.67 crore."
Jolly LLB 2,Akshay Kumar,Subhash Kapoor,Subhash Kapoor,,â‚¹45 crore[2],,"Jolly LLB 2 is a 2017 Indian Hindi-language legal drama film directed by Subhash Kapoor and starring Akshay Kumar, Annu Kapoor, Huma Qureshi, and Saurabh Shukla. The movie was produced by Fox Star Studios and distributed by Fox Star Studios. It has a running time of 137 minutes and was released on February 10, 2017 in India. The budget for the film is estimated to be ?45 crore, and its box office collection is estimated to be around ?201.34 crore."
Naam Shabana,Akshay Kumar,Neeraj Pandey,Shivam Nair,Shital BhatiaAruna Bhatia,â‚¹25 crore[2],,"Naam Shabana is a Bollywood movie released in 2017, starring Taapsee Pannu, Prithviraj Sukumaran, and Manoj Bajpayee. The movie was directed by Shivam Nair and produced by Shital Bhatia and Aruna Bhatia. The music was composed by Rochak Kohli and Meet Bros, while the background score was composed by Sanjoy Chowdhury. The cinematography was done by Sudheer Palsane, and the editing was done by Praveen Kathikuloth. The movie ran for 147 minutes and was distributed by T-Series Films and Reliance Entertainment. It was released on March 31, 2017 in India and had a budget of ?25 crore and a box office collection of ?60 crore."
Rustom (film),Akshay Kumar,Vipul K Rawal,Tinu Suresh Desai,Aruna BhatiaNittin KeniAkash ChawlaVirender AroraIshwar KapoorShital BhatiaDeepanshu MishraPrerna AroraArjun N. Kapoor,â‚¹50.28Â crores[1],,"The Bollywood movie ""Rustom"" was released on August 12, 2016. The film features Akshay Kumar as the lead actor and has an ensemble cast including Ileana D'Cruz, Esha Gupta, Arjan Bajwa, Pavan Malhotra, Kumud Mishra, Usha Nadkarni, among others. Jeet Gannguli, Arko, Raghav Sachar, and Ankit Tiwari composed the movie's music, while Surinder Sodhi created the background score. Santosh Thundiyil was in charge of cinematography, and Shree Narayan Singh edited the film. The production company and distribution were handled by Panorama Studios and Zee Studios International, respectively. The estimated budget for the movie was ?50.28 crore, and it grossed an estimated ?218.12 crore at the box office."
Dishoom,Akshay Kumar,Story and Screenplay:Rohit DhawanTushar HiranandaniDialogues:Hussain Dalal,Rohit Dhawan,Sajid Nadiadwala,â‚¹55 crore[2],,"""Dishoom"" is a Bollywood action comedy film directed by Rohit Dhawan and produced by Sajid Nadiadwala. The movie stars John Abraham, Varun Dhawan, Jacqueline Fernandez, Akshaye Khanna, Saqib Saleem, and others. The story follows two officers, Kabir ""K"" Shergill (John Abraham) and Junaid ""J"" Ansari (Varun Dhawan), who are on a mission to capture a notorious criminal, Wagah (Akshaye Khanna). Along the way, they encounter various characters, including a pickpocket (Jacqueline Fernandez), a bookie (Rashmi Nigam), and a weapons trader (Mir Sarwar). The movie is set in Abu Dhabi and features a blend of action, comedy, and romance.

The film was released on July 29, 2016, and had a budget of ?55 crore (approximately $8 million USD). It performed well at the box office, grossing an estimated ?119.58 crore (approximately $17 million USD)."
Housefull 3,Akshay Kumar,Sajid-Farhad (dialogue),Sajid-Farhad,Sajid Nadiadwala,,K. SubashJitendra Parmar,"""Housefull 3"" is a Bollywood movie released in 2016, starring Akshay Kumar, Abhishek Bachchan, Riteish Deshmukh, and other notable actors. The movie was directed by Sajid-Farhad and written by the same duo along with Rajan Agarwal and K. SubashJitendra Parmar. The story is credited to four people - Sajid-Farhad, Jitendra Parmar, Rajan Agarwal, and K. Subash. The movie features a talented cast, including Akshay Kumar as Sanket ""Sandy"" Sehgal/""Sundy Indian"", Abhishek Bachchan as Bhaskar ""Bunty"" Mittal, Riteish Deshmukh as Tukaram ""Teddy"" Chaugule, Jacqueline Fernandez as Ganga Patel / Ganga Nagre (Gracy), Lisa Haydon as Jamuna Patel / Jamuna Nagre (Jenny), Nargis Fakhri as Saraswati Patel / Saraswati Nagre (Sarah), Jackie Shroff as Urja Nagre, Chunkey Pandey as Aakhri Pasta, Boman Irani as Batook Patel, Samir Kochhar as Rishi Patel, Nikitin Dheer as Rohan Patel, Aarav Chowdhary as Rajeev Patel, and Mareeha Safdar as Shirley. The movie's music is composed by Sohail Sen, Mika Singh, Shaari-Toshi, Tanishk Bagchi, Millind Gaba, and Julius Packiam, while the cinematography is handled by Vikas Sivaraman. The movie was released on June 3, 2016, and ran for 134 minutes, with a budget of unknown amount and box office collection of ?195 crore."
Airlift (film),Akshay Kumar,"Raja Krishna Menon
Suresh Nair
Rahul Nangia
Ritesh Shah",Raja Krishna Menon,"Nikkhil Advani
Monisha Adwani
Aruna Bhatia
Bhushan Kumar
Gaurav Nanda
Krishan Kumar
Vikram Malhotra",â‚¹62 Crores[2],,"The film ""Airlift"" is directed by Raja Krishna Menon and produced by Nikkhil Advani, Monisha Adwani, Aruna Bhatia, Bhushan Kumar, Gaurav Nanda, and Krishan Kumar. It features Akshay Kumar and Nimrat Kaur in the lead roles. The film is about India-Kuwait relations, India-Iraq relations, Iraq-Kuwait relations, and the theme of takeoff. The movie was released on January 21, 2016, in Dubai and January 22, 2016, in India. It has a running time of 125 minutes and was made on a budget of ?62 Crores. The film's box office collection was ?221.67 Crores."
Toilet: Ek Prem Katha,Akshay Kumar,Siddharth Singh,Shree Narayan Singh,Viacom18  Motion PicturesAruna BhatiaShital BhatiaPrerna AroraArjun N. KapoorNeeraj Pandey,â‚¹75 crore[2],,"Hello there! As ML Guru, I'd be happy to help you summarize the data provided about the Bollywood movie ""Toilet: Ek Prem Katha"". Here is a brief summary of the key points:

Title: Toilet: Ek Prem Katha
Actor: Akshay Kumar
Cast: Features Akshay Kumar and Bhumi Pednekar
Production: The movie was produced by Viacom18 Motion Pictures, Aruna Bhatia, Shital Bhatia, Prerna Arora, Arjun N. Kapoor, Neeraj Pandey
Director: Directed by Shree Narayan Singh
Written by: Screenplay by Siddharth Singh, Story by nan
Music: Composed by Vickey Prasad, Manas-Shikhar, Sachet–Parampara
Cinematography: Anshuman Mahaley
Edited by: Edited by Shree Narayan Singh
Production company: Distributed by Viacom 18 Motion Pictures (India), Reliance Entertainment through 20th Century Studios and Paramount Pictures (Overseas)
Release date: Released on August 11, 2017 (India)
Running time: Duration of the movie is approximately 155 minutes
Country: The movie is an Indian production
Language: The movie is in Hindi
Budget: The estimated budget for the movie was ?75 crore
Box office: The movie reportedly grossed ?310 crore at the box office."
Pad Man (film),Akshay Kumar,R. BalkiSwanand Kirkire,R. Balki,Twinkle Khanna Prerna Arora,,,"The movie Pad Man is a Bollywood film directed by R. Balki and produced by Twinkle Khanna Prerna Arora. It stars Akshay Kumar, Radhika Apte, Sonam Kapoor, and others. The movie is based on the life of Arunachalam Muruganantham, an entrepreneur who invented a low-cost sanitary napkins making machine. The film follows the story of Lakshmikant Chauhan (played by Akshay Kumar), who is inspired by Muruganantham's work and sets out to revolutionize the way women in his village obtain sanitary napkins.

The movie was released on February 9, 2018, and has a runtime of 140 minutes. It was distributed by Sony Pictures Releasing and has a budget that is not specified. The film performed well at the box office, grossing ?207.73 crore (approximately $29 million)."
